CaseID,ActivityID,CompleteTimestamp
11010,972752,2016-04-15 18:48:44
11010,026979,2016-04-15 18:48:44
12001,474178,2016-04-18 11:31:21
12001,603158,2016-04-19 10:41:37
12001,915472,2016-04-19 10:41:37
12001,479982,2016-04-19 10:41:37
12001,629038,2016-04-19 10:41:37
12001,166921,2016-04-19 10:41:38
12001,411057,2016-04-19 10:41:38
12001,674344,2016-04-19 10:41:38
12002,474178,2016-04-18 11:32:01
12002,915472,2016-04-18 11:32:10
12003,077929,2016-04-18 11:32:08
12003,941972,2016-04-18 11:32:08
12003,355928,2016-04-18 11:32:08
12003,135242,2016-04-18 11:32:08
12003,308411,2016-04-18 11:32:08
12003,375088,2016-04-18 11:32:08
13001,474178,2016-04-21 19:18:11
13001,479982,2016-04-25 15:31:14
13001,915472,2016-04-25 15:31:14
13001,225828,2016-04-25 15:31:15
13001,411057,2016-04-25 15:31:15
14004,846607,2016-04-25 09:38:33
14004,607891,2016-04-25 09:38:34
14004,556862,2016-04-25 09:38:34
14005,474178,2016-04-25 11:55:47
14005,603158,2016-04-28 18:00:48
14005,479982,2016-04-28 18:00:48
14005,915472,2016-04-28 18:00:48
14005,629038,2016-04-28 18:00:48
14005,166921,2016-04-28 18:00:49
14005,411057,2016-04-28 18:00:49
14005,674344,2016-04-28 18:00:49
15001,474178,2016-04-27 23:51:39
15001,915472,2016-04-27 23:51:40
15001,169704,2016-05-04 23:51:41
15002,474178,2016-04-27 23:51:41
15002,629038,2016-04-28 15:51:53
15002,603158,2016-04-28 15:51:53
15002,915472,2016-04-28 15:51:53
15002,479982,2016-04-28 15:51:53
15002,674344,2016-04-28 15:51:54
15002,166921,2016-04-28 15:51:54
15002,411057,2016-04-28 15:51:54
16001,135242,2016-04-28 17:57:43
16001,549620,2016-04-28 17:57:43
16001,056150,2016-04-28 18:00:28
16001,635089,2016-04-28 18:00:28
16001,683813,2016-04-28 18:00:28
16001,077929,2016-04-28 18:00:29
16001,375088,2016-04-28 18:00:29
16001,355928,2016-04-28 18:00:29
16001,308411,2016-04-28 18:00:29
16001,941972,2016-04-28 18:00:29
16002,474178,2016-04-28 18:03:03
16002,479982,2016-04-29 09:44:27
16002,915472,2016-04-29 09:44:27
16002,411057,2016-04-29 09:44:28
16002,225828,2016-04-29 09:44:28
17001,474178,2016-05-04 20:30:36
17001,169704,2016-05-11 20:30:39
17001,411057,2016-06-10 17:01:59
17001,915472,2016-06-10 17:01:59
